Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2025-03-03,688213,BUY,1800,110.44,198783.05,0.0,0.0,主升浪启动,801216.95
2025-03-03,300073,BUY,4100,48.24,197797.26,0.0,0.0,主升浪启动,603419.69
2025-03-03,300438,BUY,6000,32.82,196920.0,0.0,0.0,主升浪启动,406499.69
2025-03-03,002245,BUY,12700,15.75,199979.55,0.0,0.0,主升浪启动,206520.14
2025-03-03,300450,BUY,8200,24.13,197879.16,0.0,0.0,主升浪启动,8640.98
2025-03-03,603799,BUY,200,34.47,6894.79,0.0,0.0,主升浪启动,1746.19
2025-03-04,300083,BUY,100,10.4,1040.0,0.0,0.0,主升浪启动,706.19
2025-03-04,002245,SELL,12700,14.82,188223.48,-11756.07,-5.88,策略S点(破均线),188929.67
2025-03-04,300438,SELL,6000,30.64,183840.0,-13080.0,-6.64,策略S点(破均线),372769.67
2025-03-04,002389,BUY,10000,19.86,198577.16,0.0,0.0,主升浪启动,174192.51
2025-03-04,002049,BUY,2500,67.76,169396.64,0.0,0.0,主升浪启动,4795.86
2025-03-04,600879,BUY,500,9.44,4718.34,0.0,0.0,主升浪启动,77.52
2025-03-05,300450,SELL,8200,23.34,191416.8,-6462.36,-3.27,策略S点(破均线),191494.32
2025-03-05,300124,BUY,2500,75.87,189674.4,0.0,0.0,主升浪启动,1819.93
2025-03-05,000157,BUY,200,7.76,1551.04,0.0,0.0,主升浪启动,268.89
2025-03-06,300073,SELL,4100,45.22,185396.69,-12400.57,-6.27,止损,185665.58
2025-03-06,002517,BUY,10600,17.47,185156.02,0.0,0.0,主升浪启动,509.56
2025-03-10,688213,SELL,1800,106.4,191513.78,-7269.27,-3.66,策略S点(破均线),192023.34
2025-03-10,300395,BUY,4100,46.41,190298.66,0.0,0.0,主升浪启动,1724.68
2025-03-10,000519,BUY,100,17.06,1706.0,0.0,0.0,主升浪启动,18.68
2025-03-12,603799,SELL,200,38.26,7651.68,756.89,10.98,止盈,7670.36
2025-03-12,002389,SELL,10000,21.94,219422.28,20845.12,10.5,止盈,227092.64
2025-03-12,601881,BUY,11700,16.98,198662.58,0.0,0.0,主升浪启动,28430.06
2025-03-12,000408,BUY,700,36.61,25629.11,0.0,0.0,主升浪启动,2800.95
2025-03-12,601877,BUY,100,24.5,2450.15,0.0,0.0,主升浪启动,350.8
2025-03-12,300124,SELL,2500,74.23,185575.34,-4099.05,-2.16,策略S点(破均线),185926.14
2025-03-13,688166,BUY,4200,42.27,177524.45,0.0,0.0,主升浪启动,8401.69
2025-03-13,300083,SELL,100,9.86,986.0,-54.0,-5.19,策略S点(破均线),9387.69
2025-03-13,000733,BUY,100,56.31,5630.96,0.0,0.0,主升浪启动,3756.73
2025-03-13,000157,SELL,200,7.63,1526.6,-24.44,-1.58,策略S点(破均线),5283.33
2025-03-14,601059,BUY,200,18.38,3676.36,0.0,0.0,主升浪启动,1606.98
2025-03-14,002292,BUY,100,10.9,1090.0,0.0,0.0,主升浪启动,516.98
2025-03-17,300395,SELL,4100,44.81,183716.9,-6581.76,-3.46,策略S点(破均线),184233.88
2025-03-17,603659,BUY,9800,18.72,183422.38,0.0,0.0,主升浪启动,811.49
2025-03-17,600039,BUY,100,7.69,768.59,0.0,0.0,主升浪启动,42.91
2025-03-17,600879,SELL,500,9.73,4862.53,144.19,3.06,超时强平(9天),4905.43
2025-03-17,002049,SELL,2500,68.44,171091.11,1694.46,1.0,超时强平(9天),175996.54
2025-03-18,603486,BUY,2700,64.72,174754.14,0.0,0.0,主升浪启动,1242.4
2025-03-18,000519,SELL,100,17.27,1727.0,21.0,1.23,策略S点(破均线),2969.4
2025-03-18,002236,BUY,100,19.11,1911.21,0.0,0.0,主升浪启动,1058.2
2025-03-19,002195,BUY,100,6.85,685.0,0.0,0.0,主升浪启动,373.2
2025-03-19,002236,SELL,100,18.19,1818.82,-92.38,-4.83,策略S点(破均线),2192.02
2025-03-19,002517,SELL,10600,16.94,179570.78,-5585.24,-3.02,超时强平(9天),181762.8
2025-03-20,688166,SELL,4200,40.33,169390.36,-8134.09,-4.58,策略S点(破均线),351153.16
2025-03-20,600176,BUY,16000,12.44,199071.92,0.0,0.0,主升浪启动,152081.23
2025-03-20,002544,BUY,6200,24.15,149725.94,0.0,0.0,主升浪启动,2355.29
2025-03-20,601877,SELL,100,23.9,2389.8,-60.35,-2.46,策略S点(破均线),4745.09
2025-03-21,002195,SELL,100,6.25,625.0,-60.0,-8.76,策略S点(破均线),5370.09
2025-03-21,000039,BUY,500,9.36,4679.55,0.0,0.0,主升浪启动,690.53
2025-03-21,601881,SELL,11700,16.86,197284.57,-1378.01,-0.69,策略S点(破均线),197975.11
2025-03-21,603659,SELL,9800,17.74,173819.62,-9602.76,-5.24,策略S点(破均线),371794.73
2025-03-21,000408,SELL,700,35.48,24839.15,-789.96,-3.08,策略S点(破均线),396633.88
2025-03-21,002292,SELL,100,9.9,990.0,-100.0,-9.17,策略S点(破均线),397623.88
2025-03-24,300476,BUY,2200,89.73,197396.88,0.0,0.0,主升浪启动,200227.0
2025-03-24,000733,SELL,100,53.08,5308.22,-322.74,-5.73,策略S点(破均线),205535.22
2025-03-24,603993,BUY,25700,7.76,199542.34,0.0,0.0,主升浪启动,5992.88
2025-03-24,603659,BUY,300,18.53,5558.55,0.0,0.0,主升浪启动,434.33
2025-03-24,000630,BUY,100,3.47,347.24,0.0,0.0,主升浪启动,87.09
2025-03-24,601059,SELL,200,17.3,3459.28,-217.08,-5.9,策略S点(破均线),3546.37
2025-03-26,300476,SELL,2200,83.43,183549.08,-13847.8,-7.02,止损,187095.46
2025-03-26,000733,BUY,3200,57.42,183728.84,0.0,0.0,主升浪启动,3366.62
2025-03-26,603486,SELL,2700,61.39,165758.06,-8996.08,-5.15,策略S点(破均线),169124.68
2025-03-26,002544,SELL,6200,22.82,141483.58,-8242.36,-5.5,策略S点(破均线),310608.26
2025-03-27,688521,BUY,1800,107.66,193788.0,0.0,0.0,主升浪启动,116820.26
2025-03-27,603993,SELL,25700,7.55,194061.77,-5480.56,-2.75,策略S点(破均线),310882.03
2025-03-27,688617,BUY,600,269.85,161912.07,0.0,0.0,主升浪启动,148969.96
2025-03-27,600415,BUY,10200,14.56,148510.62,0.0,0.0,主升浪启动,459.34
2025-03-27,000039,SELL,500,8.99,4493.55,-186.01,-3.97,策略S点(破均线),4952.89
2025-03-27,000630,SELL,100,3.38,337.64,-9.59,-2.76,策略S点(破均线),5290.53
2025-03-27,603659,SELL,300,18.43,5528.86,-29.69,-0.53,策略S点(破均线),10819.4
2025-03-28,000975,BUY,500,18.36,9179.14,0.0,0.0,主升浪启动,1640.26
2025-03-28,600208,BUY,400,3.36,1344.0,0.0,0.0,主升浪启动,296.26
