回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2025-03-01,2026-02-28,10.0,6.0,9,25.0,975533.25,97.55,695,39.71
2025-03-01,2026-02-28,12.0,4.0,8,25.0,970207.73,97.02,768,38.41
2025-03-01,2026-02-28,12.0,4.0,7,25.0,963306.86,96.33,777,39.9
2025-03-01,2026-02-28,10.0,7.0,7,25.0,948175.95,94.82,725,42.9
2025-03-01,2026-02-28,15.0,3.0,5,25.0,943487.26,94.35,832,38.58
2025-03-01,2026-02-28,11.0,7.0,9,25.0,937692.49,93.77,686,39.8
2025-03-01,2026-02-28,12.0,6.0,7,25.0,919050.8,91.91,724,42.27
2025-03-01,2026-02-28,10.0,6.0,10,25.0,898098.44,89.81,715,38.6
2025-03-01,2026-02-28,11.0,8.0,9,25.0,889063.95,88.91,705,42.41
2025-03-01,2026-02-28,13.0,8.0,5,25.0,888414.28,88.84,808,45.67
2025-03-01,2026-02-28,14.0,4.0,8,25.0,878784.67,87.88,702,37.46
2025-03-01,2026-02-28,12.0,6.0,7,20.0,869896.31,86.99,793,43.63
2025-03-01,2026-02-28,12.0,7.0,7,20.0,863282.67,86.33,761,44.94
2025-03-01,2026-02-28,10.0,6.0,7,25.0,862315.3,86.23,762,42.65
2025-03-01,2026-02-28,10.0,8.0,9,25.0,836996.95,83.7,696,42.24
2025-03-01,2026-02-28,9.0,8.0,9,25.0,836253.95,83.63,710,43.8
2025-03-01,2026-02-28,15.0,4.0,8,25.0,833534.51,83.35,723,36.1
2025-03-01,2026-02-28,14.0,7.0,9,25.0,827697.2,82.77,675,40.0
2025-03-01,2026-02-28,14.0,7.0,5,25.0,819014.67,81.9,788,45.81
2025-03-01,2026-02-28,13.0,3.0,9,20.0,811256.0,81.13,776,32.99
2025-03-01,2026-02-28,11.0,7.0,10,25.0,801091.86,80.11,698,40.69
2025-03-01,2026-02-28,12.0,8.0,7,20.0,799681.02,79.97,730,43.01
2025-03-01,2026-02-28,10.0,8.0,6,20.0,797878.33,79.79,802,43.27
2025-03-01,2026-02-28,10.0,8.0,7,25.0,795289.18,79.53,720,42.22
2025-03-01,2026-02-28,9.0,7.0,9,25.0,794500.85,79.45,700,42.57
2025-03-01,2026-02-28,9.0,7.0,10,25.0,769167.04,76.92,687,42.36
2025-03-01,2026-02-28,14.0,6.0,5,25.0,765851.73,76.59,773,45.54
2025-03-01,2026-02-28,14.0,8.0,8,25.0,758711.39,75.87,691,42.55
2025-03-01,2026-02-28,14.0,3.0,8,25.0,754808.51,75.48,726,33.75
2025-03-01,2026-02-28,9.0,8.0,7,20.0,749773.63,74.98,764,44.76
2025-03-01,2026-02-28,11.0,7.0,7,25.0,747846.64,74.78,698,43.12
2025-03-01,2026-02-28,12.0,8.0,8,25.0,747271.37,74.73,661,43.12
2025-03-01,2026-02-28,12.0,6.0,9,25.0,746441.71,74.64,687,38.86
2025-03-01,2026-02-28,10.0,7.0,10,20.0,745431.62,74.54,694,39.48
2025-03-01,2026-02-28,14.0,8.0,5,25.0,743067.98,74.31,786,45.04
2025-03-01,2026-02-28,11.0,4.0,7,25.0,742705.49,74.27,757,39.37
2025-03-01,2026-02-28,9.0,6.0,9,25.0,741343.85,74.13,750,41.73
2025-03-01,2026-02-28,9.0,4.0,10,25.0,741106.83,74.11,779,35.82
2025-03-01,2026-02-28,13.0,4.0,8,25.0,738096.91,73.81,717,37.1
2025-03-01,2026-02-28,11.0,8.0,6,20.0,729425.0,72.94,746,44.24
2025-03-01,2026-02-28,10.0,7.0,9,25.0,723288.14,72.33,676,41.86
