回测开始,回测结束,P1_上轨偏移(%),P2_下轨偏移(%),负乖离要求(<-%),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2025-03-05,2025-04-04,8.0,11.0,6.0,83941.23,8.39,8,12.5
2025-03-05,2025-04-04,10.0,11.0,6.0,83941.23,8.39,8,12.5
2025-03-05,2025-04-04,9.0,11.0,6.0,83941.23,8.39,8,12.5
2025-03-05,2025-04-04,9.0,8.0,6.0,69845.88,6.98,15,13.33
2025-03-05,2025-04-04,10.0,8.0,6.0,69845.88,6.98,15,13.33
2025-03-05,2025-04-04,8.0,8.0,6.0,69845.88,6.98,15,13.33
2025-03-05,2025-04-04,8.0,9.0,6.0,68897.86,6.89,11,9.09
2025-03-05,2025-04-04,10.0,9.0,6.0,68897.86,6.89,11,9.09
2025-03-05,2025-04-04,9.0,9.0,6.0,68897.86,6.89,11,9.09
2025-03-05,2025-04-04,7.0,8.0,6.0,68603.3,6.86,16,18.75
2025-03-05,2025-04-04,8.0,10.0,6.0,67540.22,6.75,9,11.11
2025-03-05,2025-04-04,9.0,10.0,6.0,67540.22,6.75,9,11.11
2025-03-05,2025-04-04,10.0,10.0,6.0,67540.22,6.75,9,11.11
2025-03-05,2025-04-04,10.0,10.0,8.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,8.0,10.0,8.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,8.0,10.0,7.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,9.0,11.0,7.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,10.0,11.0,7.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,10.0,11.0,8.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,9.0,10.0,7.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,8.0,11.0,7.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,9.0,11.0,8.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,10.0,10.0,7.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,9.0,10.0,8.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,8.0,11.0,8.0,64356.63,6.44,8,12.5
2025-03-05,2025-04-04,7.0,11.0,6.0,60673.02,6.07,9,22.22
2025-03-05,2025-04-04,10.0,9.0,8.0,47025.08,4.7,11,9.09
2025-03-05,2025-04-04,9.0,9.0,7.0,47025.08,4.7,11,9.09
2025-03-05,2025-04-04,10.0,9.0,7.0,47025.08,4.7,11,9.09
2025-03-05,2025-04-04,9.0,9.0,8.0,47025.08,4.7,11,9.09
2025-03-05,2025-04-04,8.0,9.0,7.0,47025.08,4.7,11,9.09
2025-03-05,2025-04-04,8.0,9.0,8.0,47025.08,4.7,11,9.09
2025-03-05,2025-04-04,7.0,9.0,6.0,46921.59,4.69,12,16.67
2025-03-05,2025-04-04,7.0,8.0,8.0,44458.04,4.45,15,13.33
2025-03-05,2025-04-04,10.0,8.0,8.0,44458.04,4.45,15,13.33
2025-03-05,2025-04-04,8.0,8.0,8.0,44458.04,4.45,15,13.33
2025-03-05,2025-04-04,9.0,8.0,8.0,44458.04,4.45,15,13.33
2025-03-05,2025-04-04,8.0,8.0,7.0,41678.39,4.17,16,12.5
2025-03-05,2025-04-04,10.0,8.0,7.0,41678.39,4.17,16,12.5
2025-03-05,2025-04-04,9.0,8.0,7.0,41678.39,4.17,16,12.5
2025-03-05,2025-04-04,7.0,8.0,7.0,41678.39,4.17,16,12.5
