Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2025-03-04,300502,BUY,3000,66.27,198802.41,0.0,0.0,B_伏击(乖离超跌),801197.59
2025-03-04,002463,BUY,6000,33.07,198436.46,0.0,0.0,B_伏击(乖离超跌),602761.13
2025-03-04,002851,BUY,3900,50.15,195584.81,0.0,0.0,B_伏击(乖离超跌),407176.32
2025-03-04,600418,BUY,5900,33.84,199656.0,0.0,0.0,B_伏击(乖离超跌),207520.32
2025-03-10,002851,SELL,3900,60.44,235714.76,40129.95,20.52,S_落袋(触碰上轨),443235.08
2025-03-13,600418,SELL,5900,33.02,194818.0,-4838.0,-2.42,破位止损(破抄底价),638053.08
2025-03-24,688111,BUY,600,311.88,187127.51,0.0,0.0,B_伏击(乖离超跌),450925.57
2025-03-27,688111,SELL,600,304.15,182487.14,-4640.37,-2.48,破位止损(破抄底价),633412.71
2025-03-28,600989,BUY,13600,14.67,199476.1,0.0,0.0,B_伏击(乖离超跌),433936.61
2025-03-31,600989,SELL,13600,13.93,189437.11,-10038.99,-5.03,破位止损(破抄底价),623373.72
2025-03-31,002837,BUY,6700,29.76,199406.86,0.0,0.0,B_伏击(乖离超跌),423966.86
2025-03-31,688111,BUY,600,298.12,178869.33,0.0,0.0,B_伏击(乖离超跌),245097.52
2025-03-31,300383,BUY,12000,16.65,199782.46,0.0,0.0,B_伏击(乖离超跌),45315.06
2025-03-31,000034,BUY,1100,40.86,44945.73,0.0,0.0,B_伏击(乖离超跌),369.33
2025-04-03,002837,SELL,6700,28.6,191621.14,-7785.73,-3.9,破位止损(破抄底价),191990.47
2025-04-03,600765,BUY,12100,15.82,191456.76,0.0,0.0,B_伏击(乖离超跌),533.71
2025-04-07,300383,SELL,12000,13.29,159515.31,-40267.16,-20.16,破位止损(破抄底价),160049.01
2025-04-07,300979,BUY,3400,47.01,159846.07,0.0,0.0,B_伏击(乖离超跌),202.94
2025-04-07,600765,SELL,12100,14.51,175602.12,-15854.64,-8.28,破位止损(破抄底价),175805.06
2025-04-07,601058,BUY,14800,11.81,174735.23,0.0,0.0,B_伏击(乖离超跌),1069.83
2025-04-07,688111,SELL,600,280.09,168051.78,-10817.55,-6.05,破位止损(破抄底价),169121.61
2025-04-07,688002,BUY,3000,54.39,163158.12,0.0,0.0,B_伏击(乖离超跌),5963.49
2025-04-08,300459,BUY,1200,4.66,5592.0,0.0,0.0,B_伏击(乖离超跌),371.49
2025-04-08,000034,SELL,1100,33.69,37053.99,-7891.74,-17.56,破位止损(破抄底价),37425.48
2025-04-08,300383,BUY,2700,13.67,36912.56,0.0,0.0,B_伏击(乖离超跌),512.92
2025-04-08,002131,BUY,100,3.0,300.37,0.0,0.0,B_伏击(乖离超跌),212.56
2025-04-24,300383,SELL,2700,13.12,35433.91,-1478.65,-4.01,破位止损(破抄底价),35646.46
2025-04-25,300757,BUY,200,129.81,25962.13,0.0,0.0,B_伏击(乖离超跌),9684.33
2025-04-25,002456,BUY,800,11.29,9032.0,0.0,0.0,B_伏击(乖离超跌),652.33
2025-04-28,002456,SELL,800,11.03,8824.0,-208.0,-2.3,破位止损(破抄底价),9476.33
2025-04-28,300502,SELL,3000,64.89,194662.02,-4140.38,-2.08,S_落袋(触碰上轨),204138.36
2025-04-29,002456,BUY,18000,11.11,199980.0,0.0,0.0,B_伏击(乖离超跌),4158.36
2025-04-30,300413,BUY,100,22.5,2249.6,0.0,0.0,B_伏击(乖离超跌),1908.76
2025-05-07,002131,SELL,100,3.9,389.58,89.22,29.7,S_落袋(触碰上轨),2298.34
