Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2021-03-29,601898,BUY,38000,5.25,199509.25,0.0,0.0,主升浪启动,800490.75
2021-03-29,600023,BUY,60700,3.29,199734.44,0.0,0.0,主升浪启动,600756.3
2021-03-29,688169,BUY,600,291.85,175110.12,0.0,0.0,主升浪启动,425646.18
2021-03-29,600754,BUY,3600,54.3,195482.18,0.0,0.0,主升浪启动,230164.0
2021-03-29,002756,BUY,6700,29.68,198851.79,0.0,0.0,主升浪启动,31312.22
2021-03-29,600188,BUY,6200,5.03,31200.43,0.0,0.0,主升浪启动,111.78
2021-03-31,600188,SELL,6200,4.68,29041.23,-2159.2,-6.92,止损,29153.02
2021-03-31,600027,BUY,10000,2.9,29005.93,0.0,0.0,主升浪启动,147.09
2021-04-07,601898,SELL,38000,4.99,189455.24,-10054.01,-5.04,止损,189602.33
2021-04-07,000932,BUY,26900,7.04,189473.31,0.0,0.0,主升浪启动,129.02
2021-04-08,600023,SELL,60700,3.24,196621.7,-3112.74,-1.56,策略S点(破均线),196750.72
2021-04-08,600600,BUY,2500,77.69,194220.53,0.0,0.0,主升浪启动,2530.19
2021-04-08,300390,BUY,100,21.43,2143.39,0.0,0.0,主升浪启动,386.79
2021-04-09,600027,SELL,10000,2.81,28143.59,-862.34,-2.97,策略S点(破均线),28530.38
2021-04-09,600258,BUY,1000,27.38,27376.41,0.0,0.0,主升浪启动,1153.98
2021-04-09,688169,SELL,600,265.94,159561.55,-15548.57,-8.88,策略S点(破均线),160715.53
2021-04-09,000039,BUY,15700,10.23,160634.16,0.0,0.0,主升浪启动,81.37
2021-04-09,300390,SELL,100,20.43,2043.25,-100.15,-4.67,策略S点(破均线),2124.61
2021-04-09,002756,SELL,6700,30.31,203083.61,4231.82,2.13,策略S点(破均线),205208.22
2021-04-09,601898,BUY,36000,5.55,199724.22,0.0,0.0,主升浪启动,5484.0
2021-04-09,300144,BUY,200,21.51,4302.24,0.0,0.0,主升浪启动,1181.76
2021-04-09,601919,BUY,100,7.25,725.07,0.0,0.0,主升浪启动,456.69
2021-04-12,600157,BUY,200,1.58,315.99,0.0,0.0,主升浪启动,140.7
2021-04-12,600754,SELL,3600,53.37,192148.54,-3333.64,-1.71,策略S点(破均线),192289.24
2021-04-12,600025,BUY,34000,5.65,192229.08,0.0,0.0,主升浪启动,60.16
2021-04-12,000932,SELL,26900,6.67,179362.21,-10111.1,-5.34,止损,179422.36
2021-04-12,002603,BUY,10600,16.82,178247.27,0.0,0.0,主升浪启动,1175.1
2021-04-13,600258,SELL,1000,25.88,25875.15,-1501.26,-5.48,止损,27050.25
2021-04-13,300568,BUY,2400,11.2,26876.07,0.0,0.0,主升浪启动,174.17
2021-04-13,601919,SELL,100,6.7,670.17,-54.9,-7.57,止损,844.34
2021-04-13,300144,SELL,200,18.39,3677.54,-624.7,-14.52,策略S点(破均线),4521.87
2021-04-14,601898,SELL,36000,5.26,189306.42,-10417.81,-5.22,止损,193828.29
2021-04-14,688188,BUY,1600,117.0,187195.59,0.0,0.0,主升浪启动,6632.7
2021-04-14,603659,BUY,200,25.78,5156.47,0.0,0.0,主升浪启动,1476.23
2021-04-14,600655,BUY,100,9.56,955.53,0.0,0.0,主升浪启动,520.7
2021-04-14,002517,BUY,100,4.74,474.41,0.0,0.0,主升浪启动,46.29
