Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2025-03-03,688213,BUY,1800,110.44,198783.05,0.0,0.0,主升浪启动,801216.95
2025-03-03,300073,BUY,4100,48.24,197797.26,0.0,0.0,主升浪启动,603419.69
2025-03-03,300438,BUY,6000,32.82,196920.0,0.0,0.0,主升浪启动,406499.69
2025-03-03,002245,BUY,12700,15.75,199979.55,0.0,0.0,主升浪启动,206520.14
2025-03-03,300450,BUY,8200,24.13,197879.16,0.0,0.0,主升浪启动,8640.98
2025-03-03,603799,BUY,200,34.47,6894.79,0.0,0.0,主升浪启动,1746.19
2025-03-04,300083,BUY,100,10.4,1040.0,0.0,0.0,主升浪启动,706.19
2025-03-04,002245,SELL,12700,15.01,190625.26,-9354.29,-4.68,止损,191331.45
2025-03-04,300438,SELL,6000,30.64,183840.0,-13080.0,-6.64,策略S点(破均线),375171.45
2025-03-04,002389,BUY,10000,19.86,198577.16,0.0,0.0,主升浪启动,176594.28
2025-03-04,600879,BUY,18700,9.44,176466.01,0.0,0.0,主升浪启动,128.27
2025-03-05,300083,SELL,100,9.79,979.0,-61.0,-5.87,止损,1107.27
2025-03-05,688213,SELL,1800,105.81,190454.8,-8328.25,-4.19,止损,191562.07
2025-03-05,601100,BUY,2200,83.72,184180.38,0.0,0.0,主升浪启动,7381.69
2025-03-05,600031,BUY,300,19.03,5709.23,0.0,0.0,主升浪启动,1672.46
2025-03-05,000425,BUY,100,9.02,902.43,0.0,0.0,主升浪启动,770.04
2025-03-05,300450,SELL,8200,23.34,191416.8,-6462.36,-3.27,策略S点(破均线),192186.84
2025-03-05,300124,BUY,2500,75.87,189674.4,0.0,0.0,主升浪启动,2512.44
2025-03-05,300073,SELL,4100,45.77,187640.21,-10157.05,-5.14,止损,190152.66
2025-03-05,000157,BUY,24500,7.76,190002.35,0.0,0.0,主升浪启动,150.31
2025-03-10,601100,SELL,2200,94.76,208470.05,24289.67,13.19,止盈,208620.36
2025-03-10,688266,BUY,2000,92.41,184820.0,0.0,0.0,主升浪启动,23800.36
2025-03-10,300476,BUY,300,64.4,19319.59,0.0,0.0,主升浪启动,4480.76
2025-03-10,300457,BUY,200,22.15,4430.27,0.0,0.0,主升浪启动,50.5
2025-03-12,300124,SELL,2500,74.23,185575.34,-4099.05,-2.16,策略S点(破均线),185625.84
2025-03-13,688166,BUY,4200,42.27,177524.45,0.0,0.0,主升浪启动,8101.39
2025-03-13,000733,BUY,100,56.31,5630.96,0.0,0.0,主升浪启动,2470.43
2025-03-13,603799,SELL,200,38.37,7673.36,778.57,11.29,超时强平(8天),10143.79
2025-03-13,000425,SELL,100,9.01,901.45,-0.98,-0.11,策略S点(破均线),11045.24
2025-03-13,000157,SELL,24500,7.63,187008.37,-2993.98,-1.58,策略S点(破均线),198053.62
2025-03-14,300476,SELL,300,72.68,21802.52,2482.92,12.85,止盈,219856.13
2025-03-14,300476,BUY,2400,81.67,196004.53,0.0,0.0,主升浪启动,23851.6
2025-03-14,601881,BUY,1200,18.35,22024.55,0.0,0.0,主升浪启动,1827.05
2025-03-14,002389,SELL,10000,21.45,214535.15,15957.98,8.04,超时强平(8天),216362.2
2025-03-14,600809,BUY,900,218.28,196455.62,0.0,0.0,主升浪启动,19906.58
2025-03-14,002517,BUY,1100,17.84,19618.93,0.0,0.0,主升浪启动,287.64
2025-03-14,600879,SELL,18700,9.79,183160.19,6694.18,3.79,超时强平(8天),183447.84
2025-03-17,603659,BUY,9800,18.72,183422.38,0.0,0.0,主升浪启动,25.46
2025-03-17,600031,SELL,300,19.76,5926.8,217.58,3.81,超时强平(8天),5952.26
2025-03-17,300316,BUY,100,34.94,3494.14,0.0,0.0,主升浪启动,2458.12
2025-03-17,600039,BUY,300,7.69,2305.76,0.0,0.0,主升浪启动,152.36
2025-03-18,300476,SELL,2400,92.39,221724.15,25719.62,13.12,止盈,221876.51
2025-03-18,603486,BUY,3000,64.72,194171.27,0.0,0.0,主升浪启动,27705.24
2025-03-18,601881,SELL,1200,17.57,21082.32,-942.23,-4.28,止损,48787.56
2025-03-18,002384,BUY,1300,36.99,48084.89,0.0,0.0,主升浪启动,702.68
2025-03-19,002195,BUY,100,6.85,685.0,0.0,0.0,主升浪启动,17.68
2025-03-19,000733,SELL,100,53.81,5380.94,-250.02,-4.44,止损,5398.61
2025-03-19,300457,SELL,200,21.73,4346.75,-83.51,-1.89,策略S点(破均线),9745.37
2025-03-19,002517,SELL,1100,16.94,18634.7,-984.23,-5.02,策略S点(破均线),28380.07
2025-03-20,688266,SELL,2000,93.15,186300.0,1480.0,0.8,超时强平(8天),214680.07
2025-03-20,688166,SELL,4200,40.33,169390.36,-8134.09,-4.58,策略S点(破均线),384070.43
2025-03-20,600176,BUY,16000,12.44,199071.92,0.0,0.0,主升浪启动,184998.5
2025-03-21,002195,SELL,100,6.5,650.0,-35.0,-5.11,止损,185648.5
2025-03-21,000039,BUY,19800,9.36,185310.3,0.0,0.0,主升浪启动,338.2
2025-03-21,600809,SELL,900,212.55,191298.5,-5157.13,-2.63,策略S点(破均线),191636.7
2025-03-21,603659,SELL,9800,17.74,173819.62,-9602.76,-5.24,策略S点(破均线),365456.32
2025-03-21,300316,SELL,100,33.24,3323.62,-170.52,-4.88,策略S点(破均线),368779.95
2025-03-21,002384,SELL,1300,34.35,44661.37,-3423.52,-7.12,止损,413441.31
2025-03-24,300476,BUY,2200,89.73,197396.88,0.0,0.0,主升浪启动,216044.43
2025-03-24,603993,BUY,25700,7.76,199542.34,0.0,0.0,主升浪启动,16502.09
2025-03-24,603659,BUY,800,18.53,14822.81,0.0,0.0,主升浪启动,1679.28
2025-03-24,000878,BUY,100,13.97,1397.22,0.0,0.0,主升浪启动,282.07
2025-03-26,300476,SELL,2200,83.43,183549.08,-13847.8,-7.02,止损,183831.15
2025-03-26,000733,BUY,3200,57.42,183728.84,0.0,0.0,主升浪启动,102.31
2025-03-26,603486,SELL,3000,61.39,184175.63,-9995.64,-5.15,策略S点(破均线),184277.94
2025-03-27,688521,BUY,1600,107.66,172256.0,0.0,0.0,主升浪启动,12021.94
2025-03-27,603993,SELL,25700,7.55,194061.77,-5480.56,-2.75,策略S点(破均线),206083.71
2025-03-27,688617,BUY,600,269.85,161912.07,0.0,0.0,主升浪启动,44171.64
2025-03-27,600415,BUY,3000,14.56,43679.59,0.0,0.0,主升浪启动,492.05
2025-03-27,000039,SELL,19800,8.99,177944.41,-7365.89,-3.97,策略S点(破均线),178436.46
2025-03-27,600039,SELL,300,7.75,2325.81,20.05,0.87,超时强平(8天),180762.27
2025-03-27,603659,SELL,800,18.43,14743.63,-79.18,-0.53,策略S点(破均线),195505.9
2025-03-27,000878,SELL,100,13.33,1332.55,-64.67,-4.63,止损,196838.45
