Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2025-03-03,688213,BUY,1800,110.44,198783.05,0.0,0.0,主升浪启动,801216.95
2025-03-03,300073,BUY,4100,48.24,197797.26,0.0,0.0,主升浪启动,603419.69
2025-03-03,300438,BUY,6000,32.82,196920.0,0.0,0.0,主升浪启动,406499.69
2025-03-03,002245,BUY,12700,15.75,199979.55,0.0,0.0,主升浪启动,206520.14
2025-03-03,300450,BUY,8200,24.13,197879.16,0.0,0.0,主升浪启动,8640.98
2025-03-03,603799,BUY,200,34.47,6894.79,0.0,0.0,主升浪启动,1746.19
2025-03-04,300083,BUY,100,10.4,1040.0,0.0,0.0,主升浪启动,706.19
2025-03-04,002245,SELL,12700,14.82,188223.48,-11756.07,-5.88,策略S点(破均线),188929.67
2025-03-04,300438,SELL,6000,30.64,183840.0,-13080.0,-6.64,策略S点(破均线),372769.67
2025-03-04,002389,BUY,10000,19.86,198577.16,0.0,0.0,主升浪启动,174192.51
2025-03-04,600879,BUY,18400,9.44,173635.01,0.0,0.0,主升浪启动,557.5
2025-03-05,300450,SELL,8200,23.34,191416.8,-6462.36,-3.27,策略S点(破均线),191974.3
2025-03-05,300124,BUY,2500,75.87,189674.4,0.0,0.0,主升浪启动,2299.91
2025-03-05,000157,BUY,200,7.76,1551.04,0.0,0.0,主升浪启动,748.87
2025-03-07,000932,BUY,100,5.13,513.04,0.0,0.0,主升浪启动,235.82
2025-03-07,300073,SELL,4100,43.97,180256.98,-17540.28,-8.87,策略S点(破均线),180492.8
2025-03-10,688266,BUY,1800,92.41,166338.0,0.0,0.0,主升浪启动,14154.8
2025-03-10,300476,BUY,200,64.4,12879.73,0.0,0.0,主升浪启动,1275.08
2025-03-10,688213,SELL,1800,106.4,191513.78,-7269.27,-3.66,策略S点(破均线),192788.86
2025-03-10,300395,BUY,4100,46.41,190298.66,0.0,0.0,主升浪启动,2490.2
2025-03-10,600031,BUY,100,19.79,1979.47,0.0,0.0,主升浪启动,510.73
2025-03-12,300124,SELL,2500,74.23,185575.34,-4099.05,-2.16,策略S点(破均线),186086.07
2025-03-13,688166,BUY,4400,42.27,185977.99,0.0,0.0,主升浪启动,108.08
2025-03-13,300083,SELL,100,9.86,986.0,-54.0,-5.19,策略S点(破均线),1094.08
2025-03-13,603799,SELL,200,38.37,7673.36,778.57,11.29,超时强平(8天),8767.44
2025-03-13,000157,SELL,200,7.63,1526.6,-24.44,-1.58,策略S点(破均线),10294.04
2025-03-14,300476,SELL,200,72.68,14535.01,1655.28,12.85,止盈,24829.05
2025-03-14,300476,BUY,300,81.67,24500.57,0.0,0.0,主升浪启动,328.48
2025-03-14,002389,SELL,10000,21.45,214535.15,15957.98,8.04,超时强平(8天),214863.63
2025-03-14,600809,BUY,900,218.28,196455.62,0.0,0.0,主升浪启动,18408.01
2025-03-14,002517,BUY,1000,17.84,17835.39,0.0,0.0,主升浪启动,572.61
2025-03-14,600879,SELL,18400,9.79,180221.79,6586.79,3.79,超时强平(8天),180794.41
2025-03-17,300395,SELL,4100,44.81,183716.9,-6581.76,-3.46,策略S点(破均线),364511.31
2025-03-17,603659,BUY,10600,18.72,198395.64,0.0,0.0,主升浪启动,166115.67
2025-03-17,300316,BUY,4700,34.94,164224.57,0.0,0.0,主升浪启动,1891.1
2025-03-17,600039,BUY,200,7.69,1537.17,0.0,0.0,主升浪启动,353.92
2025-03-18,300476,SELL,300,92.39,27715.52,3214.95,13.12,止盈,28069.44
2025-03-18,603486,BUY,400,64.72,25889.5,0.0,0.0,主升浪启动,2179.94
2025-03-18,600031,SELL,100,19.26,1926.28,-53.19,-2.69,策略S点(破均线),4106.22
2025-03-18,002236,BUY,200,19.11,3822.41,0.0,0.0,主升浪启动,283.81
2025-03-18,000932,SELL,100,5.0,500.34,-12.7,-2.48,策略S点(破均线),784.15
2025-03-19,002195,BUY,100,6.85,685.0,0.0,0.0,主升浪启动,99.15
2025-03-19,002236,SELL,200,18.19,3637.64,-184.77,-4.83,策略S点(破均线),3736.79
2025-03-19,002517,SELL,1000,16.94,16940.64,-894.75,-5.02,策略S点(破均线),20677.43
2025-03-20,688266,SELL,1800,93.15,167670.0,1332.0,0.8,超时强平(8天),188347.43
2025-03-20,688166,SELL,4400,40.33,177456.56,-8521.43,-4.58,策略S点(破均线),365803.99
2025-03-20,600176,BUY,16000,12.44,199071.92,0.0,0.0,主升浪启动,166732.07
2025-03-21,002195,SELL,100,6.25,625.0,-60.0,-8.76,策略S点(破均线),167357.07
2025-03-21,000039,BUY,17800,9.36,166592.09,0.0,0.0,主升浪启动,764.98
2025-03-21,600809,SELL,900,212.55,191298.5,-5157.13,-2.63,策略S点(破均线),192063.48
2025-03-21,603659,SELL,10600,17.74,188008.98,-10386.66,-5.24,策略S点(破均线),380072.46
2025-03-21,300316,SELL,4700,33.24,156210.23,-8014.34,-4.88,策略S点(破均线),536282.69
2025-03-24,300476,BUY,2200,89.73,197396.88,0.0,0.0,主升浪启动,338885.81
2025-03-24,603993,BUY,25700,7.76,199542.34,0.0,0.0,主升浪启动,139343.47
2025-03-24,603659,BUY,7500,18.53,138963.85,0.0,0.0,主升浪启动,379.62
2025-03-24,000630,BUY,100,3.47,347.24,0.0,0.0,主升浪启动,32.39
2025-03-26,300476,SELL,2200,83.43,183549.08,-13847.8,-7.02,止损,183581.47
2025-03-26,000733,BUY,3100,57.42,177987.31,0.0,0.0,主升浪启动,5594.16
2025-03-26,603486,SELL,400,61.39,24556.75,-1332.75,-5.15,策略S点(破均线),30150.91
2025-03-27,688521,BUY,200,107.66,21532.0,0.0,0.0,主升浪启动,8618.91
2025-03-27,603993,SELL,25700,7.55,194061.77,-5480.56,-2.75,策略S点(破均线),202680.68
2025-03-27,688617,BUY,600,269.85,161912.07,0.0,0.0,主升浪启动,40768.61
2025-03-27,600415,BUY,2800,14.56,40767.62,0.0,0.0,主升浪启动,0.99
2025-03-27,000039,SELL,17800,8.99,159970.23,-6621.86,-3.97,策略S点(破均线),159971.22
2025-03-27,600039,SELL,200,7.75,1550.54,13.37,0.87,超时强平(8天),161521.76
2025-03-27,000630,SELL,100,3.38,337.64,-9.59,-2.76,策略S点(破均线),161859.4
2025-03-27,603659,SELL,7500,18.43,138221.52,-742.33,-0.53,策略S点(破均线),300080.93
2025-03-28,000975,BUY,10800,18.36,198269.38,0.0,0.0,主升浪启动,101811.54
2025-03-28,600208,BUY,30300,3.36,101808.0,0.0,0.0,主升浪启动,3.54
2025-03-31,000733,SELL,3100,53.54,165975.33,-12011.98,-6.75,策略S点(破均线),165978.87
2025-03-31,600208,SELL,30300,3.1,93930.0,-7878.0,-7.74,策略S点(破均线),259908.87
2025-04-01,688266,BUY,1800,106.7,192060.0,0.0,0.0,主升浪启动,67848.87
