回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2022-03-01,2023-02-28,12.0,8.0,8,20.0,-113521.46,-11.35,450,32.44
2022-03-01,2023-02-28,12.0,9.0,8,20.0,-182995.9,-18.3,425,32.94
2022-03-01,2023-02-28,9.0,9.0,9,20.0,-196159.3,-19.62,455,35.16
2022-03-01,2023-02-28,9.0,7.0,9,20.0,-201599.99,-20.16,433,32.33
2022-03-01,2023-02-28,9.0,6.0,9,20.0,-204339.48,-20.43,446,32.74
2022-03-01,2023-02-28,5.0,10.0,6,20.0,-215159.12,-21.52,498,40.56
2022-03-01,2023-02-28,10.0,9.0,12,20.0,-228113.42,-22.81,412,31.07
2022-03-01,2023-02-28,12.0,10.0,8,25.0,-235839.79,-23.58,449,32.74
2022-03-01,2023-02-28,9.0,8.0,9,25.0,-238812.81,-23.88,419,33.89
2022-03-01,2023-02-28,11.0,7.0,15,20.0,-251670.1,-25.17,373,29.49
2022-03-01,2023-02-28,15.0,5.0,8,20.0,-252157.61,-25.22,418,30.62
2022-03-01,2023-02-28,9.0,10.0,9,20.0,-253941.84,-25.39,414,33.57
2022-03-01,2023-02-28,5.0,8.0,6,20.0,-254576.17,-25.46,499,39.48
2022-03-01,2023-02-28,11.0,9.0,11,25.0,-257810.02,-25.78,366,29.78
2022-03-01,2023-02-28,5.0,9.0,6,20.0,-258895.6,-25.89,535,40.19
2022-03-01,2023-02-28,9.0,7.0,11,25.0,-260894.86,-26.09,388,30.67
2022-03-01,2023-02-28,12.0,10.0,8,20.0,-261428.53,-26.14,428,32.71
2022-03-01,2023-02-28,10.0,9.0,9,20.0,-270872.76,-27.09,382,31.15
2022-03-01,2023-02-28,11.0,10.0,12,20.0,-273967.77,-27.4,410,29.76
2022-03-01,2023-02-28,10.0,9.0,8,20.0,-274883.9,-27.49,436,33.03
2022-03-01,2023-02-28,9.0,9.0,8,25.0,-275984.33,-27.6,432,37.04
2022-03-01,2023-02-28,11.0,8.0,9,25.0,-277635.73,-27.76,395,31.65
2022-03-01,2023-02-28,8.0,7.0,9,20.0,-280972.66,-28.1,410,33.9
2022-03-01,2023-02-28,12.0,6.0,8,20.0,-283729.75,-28.37,420,33.81
2022-03-01,2023-02-28,10.0,7.0,9,20.0,-284537.0,-28.45,379,29.82
2022-03-01,2023-02-28,9.0,6.0,15,20.0,-285227.86,-28.52,416,28.12
2022-03-01,2023-02-28,9.0,6.0,11,25.0,-286894.75,-28.69,410,31.71
2022-03-01,2023-02-28,11.0,9.0,12,25.0,-287135.34,-28.71,363,30.3
2022-03-01,2023-02-28,11.0,8.0,11,25.0,-288431.46,-28.84,357,30.25
2022-03-01,2023-02-28,12.0,8.0,8,25.0,-288567.18,-28.86,409,32.27
2022-03-01,2023-02-28,5.0,6.0,6,20.0,-291345.57,-29.13,506,41.5
2022-03-01,2023-02-28,6.0,7.0,6,20.0,-291744.42,-29.17,470,40.85
2022-03-01,2023-02-28,5.0,9.0,7,20.0,-292260.14,-29.23,483,39.54
2022-03-01,2023-02-28,11.0,7.0,11,20.0,-292544.34,-29.25,387,31.27
2022-03-01,2023-02-28,12.0,6.0,15,20.0,-292743.75,-29.27,384,28.65
2022-03-01,2023-02-28,9.0,10.0,13,20.0,-293026.06,-29.3,410,28.54
2022-03-01,2023-02-28,8.0,7.0,9,25.0,-294613.53,-29.46,418,33.01
2022-03-01,2023-02-28,5.0,7.0,6,20.0,-294746.41,-29.47,483,38.92
2022-03-01,2023-02-28,5.0,10.0,7,20.0,-295179.95,-29.52,458,38.86
2022-03-01,2023-02-28,12.0,9.0,8,25.0,-296924.77,-29.69,405,30.62
2022-03-01,2023-02-28,11.0,9.0,9,25.0,-297410.59,-29.74,394,29.7
2022-03-01,2023-02-28,10.0,7.0,11,20.0,-297606.49,-29.76,414,29.95
2022-03-01,2023-02-28,9.0,7.0,9,25.0,-297625.5,-29.76,414,30.43
2022-03-01,2023-02-28,13.0,10.0,13,25.0,-297658.51,-29.77,349,28.08
2022-03-01,2023-02-28,13.0,8.0,8,20.0,-298110.0,-29.81,417,31.41
2022-03-01,2023-02-28,10.0,4.0,9,20.0,-299097.63,-29.91,454,24.67
2022-03-01,2023-02-28,10.0,7.0,6,20.0,-299302.18,-29.93,465,35.7
2022-03-01,2023-02-28,9.0,9.0,9,25.0,-300365.01,-30.04,406,34.48
2022-03-01,2023-02-28,9.0,5.0,9,20.0,-300564.31,-30.06,461,28.2
2022-03-01,2023-02-28,11.0,6.0,15,20.0,-302280.51,-30.23,390,28.46
2022-03-01,2023-02-28,14.0,8.0,9,20.0,-303004.69,-30.3,376,29.52
2022-03-01,2023-02-28,6.0,3.0,15,20.0,-303910.71,-30.39,503,29.82
2022-03-01,2023-02-28,11.0,10.0,8,20.0,-304050.91,-30.41,397,33.0
2022-03-01,2023-02-28,10.0,10.0,12,20.0,-304771.94,-30.48,385,31.95
2022-03-01,2023-02-28,6.0,8.0,6,20.0,-307601.89,-30.76,481,39.09
2022-03-01,2023-02-28,8.0,8.0,9,25.0,-308309.16,-30.83,406,33.74
2022-03-01,2023-02-28,15.0,10.0,8,20.0,-309367.61,-30.94,404,32.67
2022-03-01,2023-02-28,11.0,9.0,9,20.0,-309487.26,-30.95,405,32.84
2022-03-01,2023-02-28,11.0,6.0,11,20.0,-309508.66,-30.95,386,28.5
2022-03-01,2023-02-28,6.0,3.0,14,20.0,-311687.02,-31.17,498,30.12
2022-03-01,2023-02-28,7.0,10.0,8,25.0,-312630.62,-31.26,398,35.93
2022-03-01,2023-02-28,9.0,4.0,9,20.0,-312686.4,-31.27,457,27.13
2022-03-01,2023-02-28,10.0,9.0,12,25.0,-313105.92,-31.31,379,28.23
2022-03-01,2023-02-28,11.0,10.0,11,25.0,-313732.9,-31.37,372,29.3
2022-03-01,2023-02-28,11.0,7.0,10,20.0,-314297.04,-31.43,390,31.28
2022-03-01,2023-02-28,5.0,8.0,7,20.0,-315134.01,-31.51,461,39.7
2022-03-01,2023-02-28,9.0,10.0,12,20.0,-315243.88,-31.52,398,30.9
2022-03-01,2023-02-28,9.0,8.0,9,20.0,-316977.42,-31.7,446,31.39
2022-03-01,2023-02-28,9.0,7.0,12,25.0,-317065.33,-31.71,388,31.96
2022-03-01,2023-02-28,11.0,8.0,15,25.0,-317804.96,-31.78,365,28.77
2022-03-01,2023-02-28,11.0,9.0,10,25.0,-318095.62,-31.81,381,28.87
2022-03-01,2023-02-28,10.0,4.0,11,20.0,-318590.27,-31.86,406,25.86
2022-03-01,2023-02-28,6.0,9.0,6,20.0,-319492.29,-31.95,510,39.02
2022-03-01,2023-02-28,11.0,4.0,11,20.0,-320707.7,-32.07,436,26.61
