回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2025-03-01,2026-02-28,11.0,7.0,8,25.0,1042714.77,104.27,720,42.36
2025-03-01,2026-02-28,12.0,6.0,8,25.0,972850.82,97.29,692,40.75
2025-03-01,2026-02-28,12.0,6.0,7,25.0,957105.59,95.71,697,43.19
2025-03-01,2026-02-28,12.0,7.0,12,25.0,950760.37,95.08,636,38.21
2025-03-01,2026-02-28,14.0,6.0,7,25.0,929109.78,92.91,657,41.25
2025-03-01,2026-02-28,15.0,4.0,8,25.0,921152.38,92.12,705,37.02
2025-03-01,2026-02-28,10.0,6.0,7,20.0,912302.65,91.23,789,41.95
2025-03-01,2026-02-28,12.0,8.0,8,25.0,854511.36,85.45,669,42.6
2025-03-01,2026-02-28,12.0,7.0,8,25.0,846010.86,84.6,680,42.21
2025-03-01,2026-02-28,10.0,6.0,7,25.0,833126.06,83.31,732,41.39
2025-03-01,2026-02-28,10.0,8.0,7,25.0,829195.39,82.92,740,43.11
2025-03-01,2026-02-28,10.0,5.0,7,25.0,828652.45,82.87,736,39.27
2025-03-01,2026-02-28,12.0,8.0,12,25.0,825584.03,82.56,602,38.21
2025-03-01,2026-02-28,11.0,4.0,7,25.0,811575.65,81.16,747,39.49
2025-03-01,2026-02-28,12.0,5.0,7,25.0,801634.95,80.16,711,39.66
2025-03-01,2026-02-28,12.0,6.0,14,25.0,798484.53,79.85,645,35.5
2025-03-01,2026-02-28,12.0,7.0,7,25.0,797716.68,79.77,668,42.81
2025-03-01,2026-02-28,11.0,7.0,12,25.0,797016.74,79.7,658,37.39
2025-03-01,2026-02-28,12.0,8.0,9,25.0,787979.3,78.8,639,39.75
2025-03-01,2026-02-28,15.0,7.0,8,25.0,779656.82,77.97,616,38.64
2025-03-01,2026-02-28,14.0,8.0,8,25.0,779394.78,77.94,620,41.77
2025-03-01,2026-02-28,12.0,4.0,7,25.0,776573.92,77.66,719,38.25
2025-03-01,2026-02-28,11.0,6.0,9,25.0,775229.6,77.52,673,38.19
2025-03-01,2026-02-28,11.0,6.0,15,25.0,753709.01,75.37,665,36.39
2025-03-01,2026-02-28,9.0,7.0,8,20.0,751518.37,75.15,742,42.18
2025-03-01,2026-02-28,11.0,8.0,9,25.0,751234.36,75.12,677,39.29
2025-03-01,2026-02-28,13.0,4.0,8,25.0,747669.99,74.77,688,36.05
2025-03-01,2026-02-28,11.0,7.0,9,25.0,741752.79,74.18,669,38.71
2025-03-01,2026-02-28,11.0,8.0,8,25.0,735692.22,73.57,668,43.11
2025-03-01,2026-02-28,14.0,7.0,8,25.0,734392.7,73.44,648,41.36
2025-03-01,2026-02-28,14.0,6.0,8,25.0,708374.3,70.84,698,40.26
2025-03-01,2026-02-28,10.0,7.0,7,20.0,707874.39,70.79,758,42.35
2025-03-01,2026-02-28,10.0,7.0,7,25.0,705330.62,70.53,722,41.55
2025-03-01,2026-02-28,14.0,5.0,8,25.0,703950.58,70.4,654,37.16
2025-03-01,2026-02-28,14.0,7.0,9,25.0,702780.47,70.28,589,37.86
2025-03-01,2026-02-28,11.0,6.0,7,25.0,700080.13,70.01,701,42.94
2025-03-01,2026-02-28,13.0,8.0,8,25.0,699834.16,69.98,638,43.1
2025-03-01,2026-02-28,14.0,4.0,8,25.0,695511.13,69.55,670,37.46
2025-03-01,2026-02-28,9.0,6.0,7,25.0,695233.98,69.52,698,43.12
2025-03-01,2026-02-28,12.0,7.0,14,25.0,695010.36,69.5,633,36.02
2025-03-01,2026-02-28,12.0,7.0,10,25.0,693007.66,69.3,649,38.52
2025-03-01,2026-02-28,11.0,6.0,8,20.0,691374.55,69.14,741,39.68
2025-03-01,2026-02-28,10.0,8.0,15,25.0,689839.1,68.98,671,39.64
2025-03-01,2026-02-28,11.0,6.0,8,25.0,677135.05,67.71,703,40.68
2025-03-01,2026-02-28,12.0,6.0,15,25.0,672144.9,67.21,622,36.33
2025-03-01,2026-02-28,15.0,8.0,8,25.0,669193.89,66.92,615,40.33
2025-03-01,2026-02-28,11.0,4.0,8,25.0,658538.64,65.85,694,37.46
2025-03-01,2026-02-28,7.0,8.0,7,25.0,655586.75,65.56,726,45.32
2025-03-01,2026-02-28,11.0,4.0,8,20.0,649909.51,64.99,731,37.35
2025-03-01,2026-02-28,12.0,4.0,8,25.0,648753.57,64.88,697,36.59
2025-03-01,2026-02-28,11.0,5.0,7,20.0,641637.36,64.16,722,41.27
2025-03-01,2026-02-28,10.0,8.0,7,20.0,631208.65,63.12,744,42.74
2025-03-01,2026-02-28,10.0,6.0,10,25.0,630678.59,63.07,672,37.95
2025-03-01,2026-02-28,8.0,5.0,7,25.0,622132.19,62.21,734,43.05
2025-03-01,2026-02-28,12.0,5.0,8,25.0,618088.87,61.81,682,38.27
2025-03-01,2026-02-28,13.0,6.0,8,25.0,615379.88,61.54,633,40.6
2025-03-01,2026-02-28,15.0,8.0,9,25.0,613797.53,61.38,609,38.92
2025-03-01,2026-02-28,9.0,8.0,8,25.0,613434.52,61.34,700,42.71
2025-03-01,2026-02-28,11.0,8.0,15,25.0,611382.46,61.14,624,37.98
2025-03-01,2026-02-28,10.0,8.0,9,25.0,609526.05,60.95,659,40.82
2025-03-01,2026-02-28,11.0,5.0,7,25.0,607966.86,60.8,724,41.44
2025-03-01,2026-02-28,9.0,8.0,7,20.0,607461.82,60.75,747,42.3
2025-03-01,2026-02-28,8.0,8.0,7,20.0,607245.44,60.72,746,45.98
2025-03-01,2026-02-28,13.0,4.0,7,25.0,604145.21,60.41,675,39.56
2025-03-01,2026-02-28,10.0,5.0,12,25.0,602147.77,60.21,696,35.92
2025-03-01,2026-02-28,14.0,4.0,9,20.0,597836.87,59.78,695,35.83
2025-03-01,2026-02-28,12.0,8.0,13,25.0,594177.02,59.42,593,39.12
2025-03-01,2026-02-28,9.0,6.0,7,20.0,584893.44,58.49,714,43.42
2025-03-01,2026-02-28,11.0,6.0,13,25.0,579794.38,57.98,650,37.69
2025-03-01,2026-02-28,10.0,7.0,15,20.0,578732.34,57.87,657,38.66
2025-03-01,2026-02-28,10.0,8.0,11,25.0,577883.17,57.79,645,37.67
2025-03-01,2026-02-28,10.0,6.0,8,25.0,575866.07,57.59,716,40.36
2025-03-01,2026-02-28,13.0,5.0,10,25.0,574578.99,57.46,643,34.53
2025-03-01,2026-02-28,13.0,7.0,14,25.0,573589.86,57.36,587,35.43
2025-03-01,2026-02-28,12.0,7.0,9,25.0,573054.95,57.31,622,37.3
2025-03-01,2026-02-28,15.0,4.0,7,25.0,566972.47,56.7,658,39.21
2025-03-01,2026-02-28,10.0,5.0,15,25.0,563260.65,56.33,674,35.01
2025-03-01,2026-02-28,13.0,5.0,8,25.0,559437.53,55.94,693,37.95
2025-03-01,2026-02-28,13.0,5.0,14,25.0,558703.27,55.87,615,34.96
2025-03-01,2026-02-28,10.0,5.0,8,25.0,558067.32,55.81,659,38.24
2025-03-01,2026-02-28,9.0,5.0,6,25.0,557916.02,55.79,766,41.64
2025-03-01,2026-02-28,7.0,8.0,8,25.0,556688.29,55.67,726,45.45
2025-03-01,2026-02-28,11.0,6.0,14,25.0,556585.92,55.66,647,37.4
2025-03-01,2026-02-28,10.0,5.0,14,25.0,556550.51,55.66,686,34.4
2025-03-01,2026-02-28,15.0,6.0,8,25.0,553514.95,55.35,589,37.69
2025-03-01,2026-02-28,12.0,8.0,14,25.0,552766.8,55.28,603,37.15
2025-03-01,2026-02-28,13.0,6.0,12,25.0,551628.83,55.16,617,35.49
2025-03-01,2026-02-28,11.0,8.0,11,25.0,546009.82,54.6,629,38.95
2025-03-01,2026-02-28,10.0,6.0,14,25.0,544798.95,54.48,679,36.52
2025-03-01,2026-02-28,14.0,4.0,9,25.0,544616.77,54.46,658,35.11
2025-03-01,2026-02-28,13.0,6.0,9,25.0,544433.0,54.44,626,36.1
2025-03-01,2026-02-28,13.0,5.0,7,25.0,542853.14,54.29,661,40.09
2025-03-01,2026-02-28,11.0,7.0,13,25.0,540688.75,54.07,645,37.36
2025-03-01,2026-02-28,15.0,6.0,7,20.0,539528.7,53.95,672,41.82
2025-03-01,2026-02-28,10.0,7.0,14,25.0,537886.53,53.79,686,37.61
2025-03-01,2026-02-28,12.0,7.0,15,20.0,534654.0,53.47,597,37.02
2025-03-01,2026-02-28,11.0,6.0,12,25.0,531272.06,53.13,602,36.71
2025-03-01,2026-02-28,11.0,7.0,11,25.0,531040.83,53.1,589,36.16
2025-03-01,2026-02-28,10.0,7.0,13,20.0,530663.35,53.07,671,37.7
2025-03-01,2026-02-28,7.0,8.0,13,20.0,530272.53,53.03,708,41.24
2025-03-01,2026-02-28,10.0,7.0,9,25.0,530032.94,53.0,668,40.87
2025-03-01,2026-02-28,12.0,8.0,15,25.0,525487.24,52.55,610,37.7
2025-03-01,2026-02-28,9.0,4.0,7,20.0,524102.19,52.41,803,41.72
2025-03-01,2026-02-28,12.0,5.0,10,20.0,522423.29,52.24,708,34.75
2025-03-01,2026-02-28,13.0,6.0,14,25.0,521613.73,52.16,638,33.39
2025-03-01,2026-02-28,7.0,4.0,7,25.0,521248.88,52.12,751,39.81
2025-03-01,2026-02-28,11.0,4.0,7,20.0,519512.87,51.95,774,39.79
2025-03-01,2026-02-28,13.0,5.0,5,25.0,517808.78,51.78,738,42.82
2025-03-01,2026-02-28,13.0,7.0,13,25.0,514685.97,51.47,589,37.69
2025-03-01,2026-02-28,9.0,8.0,8,20.0,514134.16,51.41,733,42.29
2025-03-01,2026-02-28,9.0,6.0,8,25.0,513649.41,51.36,725,40.97
2025-03-01,2026-02-28,9.0,8.0,9,25.0,509282.82,50.93,637,41.44
2025-03-01,2026-02-28,15.0,4.0,5,25.0,507080.85,50.71,709,39.49
2025-03-01,2026-02-28,10.0,8.0,6,25.0,505212.96,50.52,754,44.3
2025-03-01,2026-02-28,13.0,6.0,13,25.0,502699.23,50.27,598,35.95
2025-03-01,2026-02-28,7.0,8.0,14,20.0,498343.92,49.83,670,39.25
2025-03-01,2026-02-28,6.0,8.0,9,25.0,495892.31,49.59,732,44.13
2025-03-01,2026-02-28,9.0,7.0,8,25.0,494317.09,49.43,699,41.92
