回测开始,回测结束,P1_上轨偏移(%),P2_下轨偏移(%),负乖离要求(<-%),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2026-01-01,2026-4-12,12.0,15.0,13.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,20.0,15.0,13.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,18.0,15.0,12.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,18.0,15.0,13.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,15.0,15.0,13.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,15.0,15.0,12.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,17.0,15.0,13.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,17.0,15.0,12.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,20.0,15.0,12.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,16.0,15.0,12.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,16.0,15.0,13.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,13.0,15.0,13.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,13.0,15.0,12.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,10.0,15.0,13.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,10.0,15.0,12.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,11.0,15.0,12.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,11.0,15.0,13.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,19.0,15.0,12.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,14.0,15.0,13.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,19.0,15.0,13.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,12.0,15.0,12.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,14.0,15.0,12.0,118871.0,11.89,1,0.0
2026-01-01,2026-4-12,13.0,12.0,7.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,13.0,12.0,6.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,10.0,12.0,4.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,13.0,12.0,4.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,15.0,12.0,4.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,15.0,12.0,5.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,15.0,12.0,6.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,15.0,12.0,7.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,10.0,12.0,6.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,10.0,12.0,7.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,13.0,12.0,5.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,10.0,12.0,5.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,11.0,12.0,6.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,14.0,12.0,4.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,11.0,12.0,7.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,12.0,12.0,4.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,12.0,12.0,6.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,12.0,12.0,7.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,12.0,12.0,5.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,14.0,12.0,5.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,11.0,12.0,4.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,14.0,12.0,6.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,11.0,12.0,5.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,14.0,12.0,7.0,114984.0,11.5,16,6.25
2026-01-01,2026-4-12,11.0,13.0,14.0,104341.0,10.43,1,0.0
2026-01-01,2026-4-12,10.0,15.0,14.0,104341.0,10.43,1,0.0
2026-01-01,2026-4-12,20.0,15.0,14.0,104341.0,10.43,1,0.0
2026-01-01,2026-4-12,11.0,13.0,14.0,104341.0,10.43,1,0.0
2026-01-01,2026-4-12,15.0,13.0,14.0,104341.0,10.43,1,0.0
2026-01-01,2026-4-12,11.0,16.0,12.0,104341.0,10.43,1,0.0
2026-01-01,2026-4-12,11.0,15.0,14.0,104341.0,10.43,1,0.0
2026-01-01,2026-4-12,20.0,16.0,12.0,104341.0,10.43,1,0.0
2026-01-01,2026-4-12,11.0,16.0,13.0,104341.0,10.43,1,0.0
