Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2025-03-05,002851,BUY,3800,52.01,197630.77,0.0,0.0,B_伏击(乖离超跌),802369.23
2025-03-05,600418,BUY,5700,34.83,198531.0,0.0,0.0,B_伏击(乖离超跌),603838.23
2025-03-05,002130,BUY,9000,21.99,197950.28,0.0,0.0,B_伏击(乖离超跌),405887.95
2025-03-06,300502,BUY,2900,67.83,196693.8,0.0,0.0,B_伏击(乖离超跌),209194.15
2025-03-06,002463,BUY,5800,34.02,197300.91,0.0,0.0,B_伏击(乖离超跌),11893.24
2025-03-07,002463,SELL,5800,32.83,190395.09,-6905.82,-3.5,破位止损(破抄底价),202288.34
2025-03-10,002463,BUY,6000,33.25,199499.2,0.0,0.0,B_伏击(乖离超跌),2789.13
2025-03-13,300502,SELL,2900,65.83,190896.55,-5797.25,-2.95,破位止损(破抄底价),193685.69
2025-03-13,300972,BUY,2300,83.14,191212.89,0.0,0.0,B_伏击(乖离超跌),2472.8
2025-03-13,600418,SELL,5700,33.02,188214.0,-10317.0,-5.2,破位止损(破抄底价),190686.8
2025-03-14,300502,BUY,2800,66.75,186903.43,0.0,0.0,B_伏击(乖离超跌),3783.37
2025-03-14,600104,BUY,200,15.52,3104.0,0.0,0.0,B_伏击(乖离超跌),679.37
2025-03-14,002851,SELL,3800,68.93,261938.59,64307.82,32.54,S_落袋(触碰上轨),262617.95
2025-03-21,002130,SELL,9000,21.27,191420.52,-6529.77,-3.3,破位止损(破抄底价),454038.47
2025-03-24,688111,BUY,600,311.88,187127.51,0.0,0.0,B_伏击(乖离超跌),266910.96
2025-03-24,600418,BUY,6200,31.86,197532.0,0.0,0.0,B_伏击(乖离超跌),69378.96
2025-03-24,600104,SELL,200,15.21,3042.32,-61.68,-1.99,破位止损(破抄底价),72421.28
2025-03-26,002281,BUY,1500,45.82,68732.5,0.0,0.0,B_伏击(乖离超跌),3688.79
2025-03-27,688111,SELL,600,304.15,182487.14,-4640.37,-2.48,破位止损(破抄底价),186175.93
2025-03-27,000066,BUY,13000,14.23,184990.0,0.0,0.0,B_伏击(乖离超跌),1185.93
2025-03-27,002463,SELL,6000,32.47,194834.97,-4664.23,-2.34,破位止损(破抄底价),196020.9
2025-03-28,600989,BUY,13300,14.67,195075.89,0.0,0.0,B_伏击(乖离超跌),945.01
2025-03-28,002281,SELL,1500,45.15,67718.43,-1014.06,-1.48,破位止损(破抄底价),68663.44
2025-03-31,600989,SELL,13300,13.93,185258.35,-9817.54,-5.03,破位止损(破抄底价),253921.79
2025-03-31,002837,BUY,6700,29.76,199406.86,0.0,0.0,B_伏击(乖离超跌),54514.92
2025-03-31,300383,BUY,3200,16.65,53275.32,0.0,0.0,B_伏击(乖离超跌),1239.6
2025-03-31,002065,BUY,100,10.36,1036.43,0.0,0.0,B_伏击(乖离超跌),203.17
2025-04-03,002837,SELL,6700,28.6,191621.14,-7785.73,-3.9,破位止损(破抄底价),191824.31
2025-04-03,600765,BUY,12100,15.82,191456.76,0.0,0.0,B_伏击(乖离超跌),367.55
