Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2021-03-29,601898,BUY,38000,5.25,199509.25,0.0,0.0,主升浪启动,800490.75
2021-03-29,600023,BUY,60700,3.29,199734.44,0.0,0.0,主升浪启动,600756.3
2021-03-29,688169,BUY,600,291.85,175110.12,0.0,0.0,主升浪启动,425646.18
2021-03-29,000408,BUY,24900,8.02,199677.49,0.0,0.0,主升浪启动,225968.7
2021-03-29,600754,BUY,3600,54.3,195482.18,0.0,0.0,主升浪启动,30486.51
2021-03-29,002756,BUY,1000,29.68,29679.37,0.0,0.0,主升浪启动,807.14
2021-03-29,600188,BUY,100,5.03,503.23,0.0,0.0,主升浪启动,303.91
2021-03-30,601866,BUY,100,2.43,242.85,0.0,0.0,主升浪启动,61.06
2021-03-30,600188,SELL,100,4.85,485.47,-17.76,-3.53,止损,546.53
2021-03-31,600027,BUY,100,2.9,290.06,0.0,0.0,主升浪启动,256.47
2021-03-31,601000,BUY,100,1.93,193.45,0.0,0.0,主升浪启动,63.02
2021-04-01,601866,SELL,100,2.32,231.81,-11.04,-4.55,止损,294.83
2021-04-06,002756,SELL,1000,31.42,31417.94,1738.57,5.86,超时强平(5天),31712.77
2021-04-06,688169,SELL,600,289.34,173602.06,-1508.06,-0.86,超时强平(5天),205314.83
2021-04-06,601898,SELL,38000,5.01,190397.81,-9111.45,-4.57,止损,395712.64
2021-04-06,300751,BUY,1500,130.06,195087.15,0.0,0.0,主升浪启动,200625.48
2021-04-06,300919,BUY,3500,56.84,198951.24,0.0,0.0,主升浪启动,1674.25
2021-04-06,600023,SELL,60700,3.31,200772.02,1037.58,0.52,超时强平(5天),202446.27
2021-04-06,000408,SELL,24900,8.83,219913.68,20236.19,10.13,超时强平(5天),422359.95
2021-04-06,601000,SELL,100,1.86,186.42,-7.03,-3.64,止损,422546.36
2021-04-06,600027,SELL,100,2.81,280.65,-9.41,-3.24,止损,422827.02
2021-04-06,002236,BUY,8800,22.61,198978.4,0.0,0.0,主升浪启动,223848.62
2021-04-06,603659,BUY,8400,23.8,199958.4,0.0,0.0,主升浪启动,23890.21
2021-04-06,002245,BUY,1900,11.96,22726.72,0.0,0.0,主升浪启动,1163.49
2021-04-06,600754,SELL,3600,53.11,191186.25,-4295.93,-2.2,超时强平(5天),192349.74
2021-04-07,603899,BUY,2400,79.03,189664.75,0.0,0.0,主升浪启动,2684.99
2021-04-07,000408,BUY,200,9.12,1824.42,0.0,0.0,主升浪启动,860.57
2021-04-07,000932,BUY,100,7.04,704.36,0.0,0.0,主升浪启动,156.21
2021-04-08,300919,SELL,3500,54.45,190571.59,-8379.64,-4.21,止损,190727.8
2021-04-08,300390,BUY,8800,21.43,188618.66,0.0,0.0,主升浪启动,2109.14
2021-04-09,600515,BUY,300,6.8,2039.27,0.0,0.0,主升浪启动,69.87
2021-04-09,300390,SELL,8800,20.43,179805.81,-8812.85,-4.67,策略S点(破均线),179875.68
2021-04-09,600157,BUY,119000,1.51,179735.21,0.0,0.0,主升浪启动,140.47
2021-04-12,002236,SELL,8800,21.5,189219.24,-9759.16,-4.9,策略S点(破均线),189359.72
2021-04-12,600025,BUY,33400,5.65,188836.8,0.0,0.0,主升浪启动,522.91
2021-04-12,603899,SELL,2400,76.67,184001.47,-5663.28,-2.99,策略S点(破均线),184524.38
2021-04-12,000932,SELL,100,6.67,666.77,-37.59,-5.34,止损,185191.16
